,id,created_at,verified,username,text,location,listed_count,follower_count,retweet_count
3624,1226968759836999681,2020-02-10 20:38:42,False,Planoinforma,"b""RT @PlanoDeportivo: \xc2\xa1'El Tibu' regres\xc3\xb3! La mascota del extinto Veracruz  le rindi\xc3\xb3 homenaje a 'La Parka' y Kobe Bryant. No te lo pierdas: h\xe2\x80\xa6""","San Luis Potosí, México",540,143407,1
3625,1226968752362790919,2020-02-10 20:38:41,False,magnumdemanga,b'RT @comculturaearte: Spike Lee a homenegear Kobe Bryant nos \xc3\x93scares https://t.co/GVkwWK2NwX',Vila Nova de Cerveira,2,344,52
3626,1226968746738188288,2020-02-10 20:38:39,False,burpeesRfun,"b'RT @cavs: February 10, 2016.\n\nKobe Bryant gifts @KingJames his game-worn shoes following his final game played in Cleveland.\n\n#MambaForever\xe2\x80\xa6'",Cleveland,235,4934,1256
3627,1226968745333182466,2020-02-10 20:38:39,False,Kobe_ofori16,b'@citizenfranki Bad boy',Cloud 9☁️,0,1224,0
3628,1226968744561455105,2020-02-10 20:38:39,False,manase777,b'@berleezy 2020: \nAustralia\xe2\x80\x99s on fire\nKobe dies\nCoronavirus\nFlight makes a decent song\nJake paul wins\nLogan makes a\xe2\x80\xa6 https://t.co/kjEXM4zGUP',Your mom(jk lol),0,2,0
3629,1226968742036418565,2020-02-10 20:38:38,False,leesmileyman,"b'RT @TMZ: But it wasn\xe2\x80\x99t just the Riverdale star who was left out of the In Memoriam, which made sure to pay tribute to Kobe and Kirk. (via @\xe2\x80\xa6'",Still Tweetin'! All views=Mine,174,3050,10
3630,1226968741889683461,2020-02-10 20:38:38,False,mexifino93,"b'RT @Mamba_Insider: ""As basketball players, we\'re really supposed to shut up and dribble, but I\'m glad we did a little bit more than that.""\xe2\x80\xa6'","San Diego, CA",1,102,2717
3631,1226968737624068102,2020-02-10 20:38:37,False,mgarcia807,b'RT @MambaCenter: How did Kobe get the ball back? \xf0\x9f\x98\x82 https://t.co/rFF070jxdj',,0,102,36
3632,1226968736256667653,2020-02-10 20:38:37,False,c_griggs,"b'RT @BillSimmons: Latest BS Podcast on @spotify \xe2\x80\x94 the streaming wars, ESPN\xe2\x80\x99s evolution, Jimmy Kimmel\xe2\x80\x99s rise, the future of sports rights, Ko\xe2\x80\xa6'",,5,442,6
3633,1226968735547871232,2020-02-10 20:38:37,False,CalebMclendon,b'RT @Jhickness9: Reason I don\xe2\x80\x99t hate Paul George. He allowed OKC to get back a kings ransom in a trade instead of just leaving. KD knew he w\xe2\x80\xa6',,1,588,139
3634,1226968733165506562,2020-02-10 20:38:36,False,Roy29899488,"b""RT @PstillDGAF: They tried the #IStandWithGayle crap..they got clowned\xf0\x9f\xa4\xa1\xf0\x9f\xa4\xa1\xf0\x9f\xa4\xa1..now we've got #IStandWithSnoop trending #HappyMonday~18.3 millio\xe2\x80\xa6""","Dallas, TX",1,81,4
3635,1226968731290669056,2020-02-10 20:38:36,True,PopCrush,"b'Vanessa Bryant said her ""brain refuses to accept"" both Kobe and Gianna are gone: https://t.co/F8U0SBkOsY'",New York,1174,124305,0
3636,1226968726588792835,2020-02-10 20:38:35,False,NLBMainey,"b""RT @SalttBucket: Lil' Wayne - Kobe Bryant  https://t.co/7kpVH23i6o""","San Jose, CA",0,108,1
3637,1226968725208944644,2020-02-10 20:38:34,False,Regular_Dub,"b'RT @BleacherReport: 2 years ago, Kobe won the Oscar for his short film ""Dear Basketball\xe2\x80\x9d\n\nA legendary second act \xf0\x9f\x92\x9c\xf0\x9f\x92\x9b https://t.co/Gq9GrAfwrn'",Aint Shit Blvd,32,1598,9811
3638,1226968723287920640,2020-02-10 20:38:34,False,RiseAbove_12,b'RT @MambaCenter: How did Kobe get the ball back? \xf0\x9f\x98\x82 https://t.co/rFF070jxdj',splashTown ,1,575,36
3639,1226968722675556358,2020-02-10 20:38:34,False,Batshitcrazy_8,"b""I love @SnoopDogg. He doesn't want to hurt anyone. @GayleKing's questions to Lisa Leslie were meant to be salacious\xe2\x80\xa6 https://t.co/6KzbBbav7N""",AmeriKKKa,29,1132,0
3640,1226968721966628864,2020-02-10 20:38:33,False,jacoblopez0,"b'RT @Mamba_Insider: ""As basketball players, we\'re really supposed to shut up and dribble, but I\'m glad we did a little bit more than that.""\xe2\x80\xa6'","Tampa, FL",3,285,2717
3641,1226968721660489728,2020-02-10 20:38:33,False,MalikApplewhite,b'RT @HoopsVids: \xe2\x80\x9cWe should all be fortunate that Allen Iverson wasn\xe2\x80\x99t 6\xe2\x80\x995\xe2\x80\x9d \xe2\x80\x94 Kobe Bryant  https://t.co/W8dIvU4Mom',"Philadelphia, Wentzylvania",8,2747,285
