,username,type,to
3786,@YellaToko91,RT,@Mamba_Insider
3787,@MoneySignPeso,Tweet,@MoneySignPeso
3788,@davidsardinero,RT,@GIGANTESbasket
3789,@Victori15395252,Tweet,@Victori15395252
3790,@timmynolie,RT,@BleacherReport
3791,@HoboBooze,Tweet,@HoboBooze
3792,@__carlos__7,RT,@ChargersLegion
3793,@Buffy619,RT,@SInow
3794,@KOBE_son21,RT,@youMAD_DL
3795,@EastSideKil,RT,@Mamba_Insider
3796,@kp_997,RT,@CristalBarzz
3797,@27venamc,RT,@VerySmartBros
3798,@Joisah44,RT,@tysonbeckdesign
3799,@Hopeforever9,RT,@_bbytumz
3800,@thatdanagame,Tweet,@thatdanagame
3801,@skittertube42,Tweet,@skittertube42
3802,@d3l30n_18,Tweet,@d3l30n_18
3803,@aanggxl,RT,@tysonbeckdesign
3804,@MzDivah67,RT,@Diesal303
3805,@_isheikh,RT,@SportsCenter
3806,@Vitt2tsnoc,Tweet,@Vitt2tsnoc
3807,@goddessgxbbie,RT,@FatKidDeals
3808,@CoachBerto100,RT,@espn
3809,@Jasongonzo27,RT,@IamKrisLondon
3810,@mitch_hoalcraft,RT,@tysonbeckdesign
3811,@Todd_Gully,Tweet,@Todd_Gully
3812,@Slipmaggot8,RT,@ESPNNBA
3813,@tarkoffel,RT,@meteoric12
3814,@KaiorDiie,RT,@sheabeurre
3815,@NatsuMeliodas2,RT,@ESPNNBA
3816,@nolchoe,Tweet,@nolchoe
3817,@30ACTruth,RT,@SunflowerSoul71
3818,@SlimDreY,RT,@sheabeurre
3819,@TLynnMichaels,Tweet,@TLynnMichaels
3820,@InWalkWeTrust,Tweet,@InWalkWeTrust
3821,@TheOneWearing10,RT,@LakersNation
3822,@robby_potts,RT,@BleacherReport
3823,@kingkandola,RT,@LakersNation
3824,@LilyofBiscay,RT,@nora_hella
3825,@JMonthemic,RT,@Mamba_Insider
3826,@mechaceleb,Tweet,@mechaceleb
3827,@Jack_Kossin11,RT,@IamKrisLondon
3828,@Juventud27feb,RT,@GustavoSanchezq
3829,@threella7,Tweet,@threella7
3830,@chkaki,RT,@GaetanScherrer
3831,@TheyCallMe_DLo,RT,@ESPNNBA
3832,@carlottascorner,Tweet,@carlottascorner
3833,@vakabon_,RT,@TylerIAm
3834,@wubanowski,RT,@SportsCenter
3835,@LIGHTWORK_ENT,RT,@BleacherReport
3836,@catij_ughh,RT,@BleacherReport
