,username,type,to
4228,@tomhoffarth,RT,@tomhoffarth
4229,@izzy_martinez28,RT,@ChargersLegion
4230,@ProBanker,Tweet,@ProBanker
4231,@SatsuiNoNegrou,RT,@MattNorlander
4232,@blackkobe97,RT,@timelesssports_
4233,@TheDivinePrince,RT,@MrChuckD
4234,@lalitoespos7,RT,@FranJMerino
4235,@D_Bell2013,RT,@timelesssports_
4236,@LoveThePuck,RT,@MrChuckD
4237,@FettyUchiha,Tweet,@FettyUchiha
4238,@Tarikh5900,RT,@ESPNNBA
4239,@keepcalmchris,Tweet,@keepcalmchris
4240,@fari_kay,RT,@espn
4241,@mike_daflam,RT,@Complex
4242,@Huncho_Glizock,RT,@timelesssports_
4243,@sso_kobe,RT,@sandersae_
4244,@stuart_tibs,RT,@tysonbeckdesign
4245,@dawson_torres,RT,@BleacherReport
4246,@DoloBeenThat,RT,@BleacherReport
4247,@Leeky43,RT,@UMassBeacons
4248,@tjc____,RT,@timelesssports_
4249,@tamanegi_kobe,Tweet,@tamanegi_kobe
4250,@Sariiiiu,RT,@theartymind
4251,@isaiahdavis97,RT,@Mamba_Insider
4252,@whereyoedgeup,RT,@BleacherReport
4253,@blogNekoRandom,RT,@ChefandScribe
4254,@SatsuiNoNegrou,RT,@MattNorlander
4255,@TheRealDjango,Tweet,@TheRealDjango
4256,@Abbz_LeGoon,RT,@enews
4257,@ChadHal502,Tweet,@ChadHal502
4258,@nhernandezWTHR,RT,@WTHRcom
4259,@NBABrasil,Tweet,@NBABrasil
4260,@blkbored,RT,@realJoWenke
4261,@Spliffage,RT,@timelesssports_
4262,@SatsuiNoNegrou,RT,@MattNorlander
4263,@jserrano8628,Tweet,@jserrano8628
4264,@iamlerose,Tweet,@iamlerose
4265,@Fakih91577416,Tweet,@Fakih91577416
4266,@glamourqueenmua,Tweet,@glamourqueenmua
4267,@Sensei_HermJ,RT,@SportsCenter
4268,@emporeeo,RT,@osmelvergara
4269,@klasekastellano,Tweet,@klasekastellano
4270,@ThiagoAuarek,RT,@cavs
4271,@AM570LASports,Tweet,@AM570LASports
4272,@princess_kkaay,RT,@JimmysBurner2
4273,@Yann_Dcs,RT,@LeftOfBlack
4274,@Smush9,RT,@BleacherReport
4275,@dotbspeaks1,RT,@tariqnasheed
4276,@theblakkmamba24,RT,@kobemurals
4277,@GrindXnMx,RT,@SportsCenter
4278,@MrQuenchiAdams,Tweet,@MrQuenchiAdams
4279,@Adorableblogs,RT,@fabonkzy
4280,@vickyblinders,RT,@mediotiempo
4281,@princess_kkaay,RT,@BleacherReport
4282,@jaybinet21,RT,@BleacherReport
4283,@LilShortCuz,RT,@Mamba_Insider
4284,@YesItsJustRick,RT,@alextalktoem
4285,@brantley53,RT,@Mamba_Insider
4286,@DarthTee,RT,@MambaCenter
4287,@La_kream,RT,@SportsCenter
4288,@LG_6ick,RT,@CristalBarzz
4289,@LTAFBaby,Tweet,@LTAFBaby
4290,@vlonedaedae,RT,@ESPNNBA
4291,@MrChuckD,Tweet,@MrChuckD
4292,@KANTDEALDOTKOM,RT,@cavs
4293,@SPWTalessia,Tweet,@SPWTalessia
4294,@vamos,Tweet,@vamos
4295,@kezz_sinatra,RT,@thotular
4296,@bobforthat1,Tweet,@bobforthat1
4297,@kobemurals,Tweet,@kobemurals
4298,@briannaaaaax3,Tweet,@briannaaaaax3
4299,@YELLOW_MOSES,RT,@CristalBarzz
4300,@delgadillo125,RT,@joromiahhh
4301,@infoitcultura,Tweet,@infoitcultura
4302,@rashadbl41k,RT,@timelesssports_
4303,@HawkinsKalum,RT,@tysonbeckdesign
4304,@Doggo___,Tweet,@Doggo___
4305,@JQ_Norman,RT,@tysonbeckdesign
4306,@RaRaRidenhour,RT,@HOT97
4307,@tp9dz,RT,@ESPNNBA
4308,@christineptutu,RT,@itstrilbaby
4309,@ayjayjay_92,RT,@ComplexSneakers
4310,@Kobe_Doran5,RT,@CGJXXIII
4311,@Donny_BIGGS,RT,@BleacherReport
4312,@RIse_OverYou,Tweet,@RIse_OverYou
4313,@NIKE2times,RT,@puemalol
4314,@vituxxoo,RT,@RapMais
4315,@VictorJDM00,RT,@reasonTDE
4316,@SpiderPigBoomin,RT,@OfficiallyIce
4317,@SatsuiNoNegrou,RT,@MattNorlander
4318,@Jovacs19,RT,@mediotiempo
4319,@webelieve_you,RT,@CyntHarp
4320,@PapiChuleta_,RT,@enews
4321,@Logan__726,RT,@Mamba_Insider
4322,@kelly_plea,Tweet,@kelly_plea
4323,@bmays773,RT,@SportsCenter
4324,@lowlifekee,RT,@BleacherReport
4325,@WeagleScott,Tweet,@WeagleScott
4326,@HeritageAvid,Tweet,@HeritageAvid
4327,@SatsuiNoNegrou,RT,@MattNorlander
4328,@_FinesseUp,Tweet,@_FinesseUp
4329,@Banks429,RT,@CristalBarzz
4330,@DEEJAYMOB,RT,@CristalBarzz
4331,@Akkkiiirrraaa,RT,@Complex
4332,@DaliaMCantu,RT,@ComplexSports
4333,@XOLenababy,RT,@TMZ
4334,@DawnDau63161080,RT,@_dawnmontgomery
4335,@LeftOfBlack,Tweet,@LeftOfBlack
4336,@Marty83461594,Tweet,@Marty83461594
4337,@YesItsJustRick,RT,@nikka202
4338,@ODVALHENTINE,RT,@ESPNNBA
4339,@AlcantarAaron_,RT,@BleacherReport
4340,@skinnyblackgirl,Tweet,@skinnyblackgirl
4341,@CantGuardJT4,RT,@Mamba_Insider
4342,@OneOldAmerican,RT,@1776_NOAH_711
4343,@enotonoM,RT,@LegionHoops
4344,@rafiuxna,RT,@chuckpee
4345,@Slimee21g,RT,@BleacherReport
4346,@GovernorGilbert,RT,@IsaacHayes3
4347,@cerisepetantee,RT,@lohan_bve
4348,@SatsuiNoNegrou,RT,@MattNorlander
4349,@SaylasMoon,RT,@AishiaDeal
4350,@gimmepumpum,Tweet,@gimmepumpum
4351,@MargieWhitesid2,RT,@ShawnG927
4352,@Basket_Infos,Tweet,@Basket_Infos
4353,@SOLEKING734,Tweet,@SOLEKING734
4354,@HeroinHighway,RT,@BleacherReport
4355,@Sosa_Gunna,RT,@LvckyLeff__
4356,@GabbyOneLove,Tweet,@GabbyOneLove
4357,@lathenwilliams,RT,@Ballislife
4358,@Ishemia_Lasha,RT,@tysonbeckdesign
4359,@BriannaDelilah,RT,@Mamba_Insider
4360,@petemochi,RT,@AudelDelToro
4361,@Layne_JazzeySA,RT,@Complex
4362,@ChadHal502,Tweet,@ChadHal502
4363,@trvppin_lex,Tweet,@trvppin_lex
4364,@NoNeed4Clout,Tweet,@NoNeed4Clout
4365,@thrapp26,Tweet,@thrapp26
4366,@prettychiild,RT,@AfrDiasporaNews
4367,@CoachSpurlockTN,RT,@sdcbl
4368,@ceelurrrste,RT,@Complex
4369,@heroesandcons,RT,@Eurosport_IT
4370,@_MoSean_,RT,@Mamba_Insider
4371,@Babyblack1977,Tweet,@Babyblack1977
4372,@mckjazzy,Tweet,@mckjazzy
4373,@christineptutu,RT,@AishiaDeal
4374,@jxckdesmond,RT,@DavidMeyler
4375,@prettyygurrlll,RT,@LegionHoops
4376,@AyeeeeQ__,RT,@ComplexSports
4377,@swank0cean_,RT,@ESPNNBA
4378,@AniiitaMonroy,RT,@BleacherReport
4379,@Mackin_Captain,RT,@tysonbeckdesign
4380,@NotPatBev,Tweet,@NotPatBev
4381,@bereallaboutit,RT,@CristalBarzz
4382,@Jai_Louis,RT,@Mamba_Insider
4383,@Girlthatsguwop,Tweet,@Girlthatsguwop
4384,@MarinoLorenzana,RT,@LeBronEnEspanol
4385,@RadMafiaBxtch,RT,@TripleRussell0
4386,@dijoni,Tweet,@dijoni
4387,@eTrafficLane,Tweet,@eTrafficLane
4388,@Lakersworld_,RT,@MattNorlander
4389,@BronzeBomberYT,Tweet,@BronzeBomberYT
4390,@xoxojvssy,Tweet,@xoxojvssy
4391,@BigBallerBert,RT,@Mamba_Insider
4392,@swank0cean_,RT,@BleacherReport
4393,@doggoboyy,RT,@BleacherReport
4394,@ElNacionalWeb,Tweet,@ElNacionalWeb
4395,@tatii_rez,RT,@enews
4396,@edubwilliams,RT,@BleacherReport
4397,@dyevelasquez,RT,@RTNBA
4398,@Speakonslim,RT,@ESPNNBA
4399,@Ivan_Jim,RT,@mediotiempo
4400,@10xEsteban,RT,@CristalBarzz
4401,@hassanisan,RT,@BleacherReport
4402,@RedStephanieB,Tweet,@RedStephanieB
4403,@BLKLiberation84,RT,@AfrDiasporaNews
4404,@Daniel_0297,RT,@ESPNNBA
4405,@g_malmo,RT,@MambaCenter
4406,@buzzard74,RT,@CristalBarzz
4407,@PabloA44,Tweet,@PabloA44
4408,@worthydoe,RT,@TLowso
4409,@ericmass_,RT,@timelesssports_
4410,@Swake183,RT,@BleacherReport
4411,@tlaloc_munoz,RT,@toomannydreams
4412,@zarifhossain30,RT,@Mamba_Insider
4413,@swank0cean_,RT,@AmyKinLA
4414,@kingkandola,RT,@MambaCenter
4415,@LyfeMjfan4,RT,@AishiaDeal
4416,@BeardedLumby,RT,@TilWeOverdoze
4417,@JeongPark52,RT,@TommyTallarico
4418,@Justin_Onate,Tweet,@Justin_Onate
4419,@_Almightydosa_,RT,@Mamba_Insider
4420,@OhChipz,RT,@LakeShowFamily
4421,@Primicias,Tweet,@Primicias
4422,@nebulawade,RT,@curvellas
4423,@RyersonDMZ,Tweet,@RyersonDMZ
4424,@Killa_Jilla,RT,@cavs
4425,@MissTaryn30,RT,@Brenda_Resister
4426,@colsdove,RT,@enews
4427,@CMistschriff,RT,@bsbfankaren
4428,@claydineroo,RT,@ESPNNBA
4429,@senseiLABeatle,RT,@Mamba_Insider
4430,@BruceyJr13,RT,@timelesssports_
4431,@blkmambasiu,RT,@Butterfly_424
4432,@_MoSean_,RT,@SportsCenter
4433,@zotico_lambros,Tweet,@zotico_lambros
4434,@mattyicestan,Tweet,@mattyicestan
4435,@jmgndyao,RT,@timelesssports_
4436,@LaondaOaxaca,Tweet,@LaondaOaxaca
4437,@JeffHun34911855,RT,@GCTigerTracker
4438,@castrox_s,RT,@enews
4439,@taatiflower,RT,@angeljose155
4440,@TheDailyIowan,Tweet,@TheDailyIowan
4441,@FinancialXpress,Tweet,@FinancialXpress
4442,@RunRunesWeb,Tweet,@RunRunesWeb
4443,@EYHK1,RT,@Rantanp49061536
4444,@LyfeMjfan4,RT,@Omar_777_
4445,@kieracsantiago,RT,@tysonbeckdesign
4446,@_images77,Tweet,@_images77
4447,@lordxanderr,RT,@tysonbeckdesign
4448,@mjsangel2011,RT,@jo12jo12
4449,@20nayr,RT,@MambaCenter
4450,@jumpmancisco,RT,@BleacherReport
4451,@buzzard74,RT,@HOT97
4452,@JackandGradyMom,RT,@STLCardsNews
4453,@anthonydragons,Tweet,@anthonydragons
4454,@unknowncomic2,RT,@SportsCenter
4455,@crazy_vitin,RT,@PurpleAndGoldBR
4456,@swank0cean_,RT,@latimesent
4457,@MarkObbie,RT,@schwartzapfel
4458,@xodanielaa_,RT,@bwags
4459,@moi391,Tweet,@moi391
4460,@JoshuaMasjedi,RT,@Butterfly_424
4461,@PartlowVw,RT,@tariqnasheed
4462,@SirMcAaron,RT,@TiffanyDCross
4463,@GdWins3,Tweet,@GdWins3
4464,@dude_vol,RT,@itstrilbaby
4465,@Jhecy_Me,Tweet,@Jhecy_Me
4466,@LakersEsp,RT,@FranJMerino
4467,@CliffClue,RT,@espn
4468,@DaddyProBlack,RT,@KyMurda
4469,@SaylasMoon,RT,@jo12jo12
4470,@pennymeza_,RT,@ChargersLegion
4471,@M_Swift44,RT,@MattNorlander
4472,@BomB_Shxxt,Tweet,@BomB_Shxxt
4473,@KeishaRansome22,RT,@StephanieHypes
4474,@jilopez2423,RT,@ESPNNBA
4475,@danyadabst,RT,@TiffanyDCross
4476,@JWhitInspires,RT,@CristalBarzz
4477,@BrunelShawn,Tweet,@BrunelShawn
4478,@Digodiogoo,RT,@ESPNNBA
4479,@JacobSchwartz23,Tweet,@JacobSchwartz23
4480,@juan____garcia,Tweet,@juan____garcia
4481,@Richhomiechass,RT,@timelesssports_
4482,@RealRappEarls,RT,@BleacherReport
4483,@GospelGrind,Tweet,@GospelGrind
4484,@Ss0Y4,Tweet,@Ss0Y4
4485,@sam2stu,RT,@ESPNNBA
4486,@NasMich13,RT,@ESPNNBA
4487,@mbibrahim09,RT,@etnow
4488,@RenP505,Tweet,@RenP505
4489,@csualum1994,Tweet,@csualum1994
4490,@JReidOneNiner,RT,@BleacherReport
4491,@karasmall2334,RT,@welch_jodie
4492,@sina_obie,RT,@SInow
4493,@DonavanX100,RT,@Mamba_Insider
4494,@Dey_Hate_T,RT,@RenyTay
4495,@austin_nguyen05,RT,@SportsCenter
4496,@br00klynkiid,RT,@timelesssports_
4497,@AceeAbijah,RT,@ESPNNBA
4498,@sioliv4,RT,@CristalBarzz
4499,@isaiahimani,RT,@tysonbeckdesign
4500,@dude_vol,RT,@jo12jo12
4501,@SwishandIceTea,RT,@ThaVictorySlap
4502,@cza____,RT,@BleacherReport
4503,@NSRcaScout,Tweet,@NSRcaScout
4504,@allthatfire,RT,@BleacherReport
4505,@KeshisCuties,Tweet,@KeshisCuties
4506,@lanna_528,RT,@Ballislife
4507,@iamjaybanks,RT,@cavs
4508,@dude_vol,RT,@AishiaDeal
4509,@julesondaair,RT,@joromiahhh
4510,@Weber6God,RT,@Butterfly_424
4511,@22_blixky,RT,@timelesssports_
4512,@GIGANTESbasket,RT,@cvillasante
4513,@davimendes_,RT,@RapMais
4514,@HFCNews,Tweet,@HFCNews
4515,@BriannaLiquori,RT,@enews
4516,@uncldano,RT,@Newsweek
4517,@iceypeach3,RT,@ReggiSaxx
4518,@zeckycutlets,RT,@KnicksHistory
4519,@MichaelCocco76,RT,@NOTSportsCenter
4520,@jesstonc,RT,@realJoWenke
4521,@trinitylynn13,RT,@_lastking8
4522,@xSHONTIx,RT,@BleacherReport
4523,@DianaGeez,RT,@enews
4524,@GilbertBailon,Tweet,@GilbertBailon
4525,@Beatric62152212,Tweet,@Beatric62152212
4526,@natkmitchell,RT,@VerySmartBros
4527,@espeso88,RT,@GIGANTESbasket
4528,@MaxitoElMaje,Tweet,@MaxitoElMaje
4529,@tloflo2714,RT,@Mamba_Insider
4530,@Jessica4JJ,RT,@LisaBondBrewer
4531,@yungajna_,RT,@SportsCenter
4532,@john_bryant24,RT,@Mamba_Insider
4533,@VictorJDM00,RT,@LakersNation
4534,@Suberman1024,RT,@Mamba_Insider
4535,@EliteVidal,RT,@RashadJuniorr
4536,@jramiro_vu,RT,@mediotiempo
4537,@safemoney10,RT,@BleacherReport
4538,@STACKBOXS,RT,@cavs
4539,@oG_PapiChulo,RT,@ESPNNBA
4540,@NYDailyNews,Tweet,@NYDailyNews
4541,@LaColonge,RT,@RMCsport
4542,@adamthatidiot,RT,@dotNoso
4543,@DontSleepOnCT,RT,@tysonbeckdesign
4544,@LaColonge,RT,@basketusa
4545,@iamstarstrucker,Tweet,@iamstarstrucker
4546,@cosby_lily,Tweet,@cosby_lily
4547,@jalenmosby,Tweet,@jalenmosby
4548,@Boy34Fahad,Tweet,@Boy34Fahad
4549,@RuffusMD,RT,@Russianvids11
4550,@DJLordBuck,RT,@eurweb
4551,@surr_mike,Tweet,@surr_mike
4552,@LbPaige,RT,@CristalBarzz
4553,@robert85878660,RT,@BleacherReport
4554,@___Goodfella,Tweet,@___Goodfella
4555,@SYB_Shelly,RT,@OprahSide
4556,@erv_ii,Tweet,@erv_ii
4557,@samuelpalma8,RT,@cavs
4558,@charrito23,Tweet,@charrito23
4559,@redskinlover59,RT,@IamKrisLondon
4560,@EdTGO,Tweet,@EdTGO
4561,@_julievera,RT,@zearo0
4562,@Noel_rianxo,RT,@Pasion_Basket1
4563,@HoneTyler,RT,@FTFonFS1
4564,@morgzz77,RT,@GCTigerTracker
4565,@Markusduranus,RT,@BleacherReport
4566,@jerome_blakely,Tweet,@jerome_blakely
4567,@JhqhinSwan178,RT,@bwags
4568,@ZeroDarkTwenty3,RT,@ABCNetwork
4569,@bullishbearfoh,RT,@espn
4570,@iso_stove,RT,@Mamba_Insider
4571,@TrifeMack132,RT,@CristalBarzz
4572,@jwins823,RT,@enews
4573,@kitar21,RT,@espn
4574,@qnarl_y,RT,@SportsCenter
4575,@3MlLI0,RT,@curvellas
4576,@uotapa,RT,@TheHoopCentral
4577,@Evangeliafreem1,RT,@AishiaDeal
4578,@OHGEENiCK,Tweet,@OHGEENiCK
4579,@__Tron12,RT,@ESPNNBA
4580,@trevi94288896,RT,@BleacherReport
4581,@NotPatBev,RT,@FTFonFS1
4582,@jesstonc,RT,@LisaBondBrewer
4583,@Virginia_PC,RT,@GIGANTESbasket
4584,@hnnra,RT,@BleacherReport
4585,@anthonyn1020,RT,@Mamba_Insider
4586,@NotPatBev,RT,@TheMariaShow_
4587,@arnelloroasted,RT,@KyMurda
4588,@RS_Corey,RT,@Mamba_Insider
4589,@Brick_City_G1,RT,@cavs
4590,@unknow279z,RT,@ScottFeinberg
4591,@therealgamerg,RT,@KyMurda
4592,@Emmljackman,RT,@Ankamagyimi
4593,@MeatScepter,Tweet,@MeatScepter
4594,@Caropenita8Pena,Tweet,@Caropenita8Pena
4595,@LFXB717,RT,@timelesssports_
4596,@_iamjayyyyy_,Tweet,@_iamjayyyyy_
4597,@CleezyTaughtU,Tweet,@CleezyTaughtU
4598,@Ox___99,RT,@BleacherReport
4599,@4eslclub,RT,@TheHoopCentral
4600,@breakghjnertw,Tweet,@breakghjnertw
4601,@BKfinest_,RT,@enews
4602,@Rg2112,Tweet,@Rg2112
4603,@BryonHill11,RT,@ESPNNBA
4604,@Jay5tayPaid,RT,@curvellas
4605,@adore_is_aj_34,RT,@hmfaigen
4606,@Merv_ClikClak,RT,@MambaCenter
4607,@tight_bass,Tweet,@tight_bass
4608,@amomofaballer,RT,@espn
4609,@cvillasante,Tweet,@cvillasante
4610,@7OG_D7,RT,@timelesssports_
4611,@Corporatte_Thug,RT,@SportsCenter
4612,@Jo4126,Tweet,@Jo4126
4613,@WTHRcom,Tweet,@WTHRcom
4614,@kseanj1122,RT,@LakeShowFamily
4615,@birlaur2007,Tweet,@birlaur2007
4616,@oymgroup,RT,@TMZ
4617,@giova1931,RT,@parallelecinico
4618,@BeaverShelby,RT,@SJPFISH
4619,@jkdonald99,RT,@TiffanyDCross
4620,@KC_HYIC,RT,@BleacherReport
4621,@LilyofBiscay,RT,@angela_ford
4622,@pipelinesmobile,RT,@Essence
4623,@Johnnymanee_,RT,@enews
4624,@Nicolinhoooo,Tweet,@Nicolinhoooo
4625,@alleybenzz,RT,@BleacherReport
4626,@paabloescobaaar,RT,@GiulianaPronto
4627,@kobe_brine,RT,@phan1om_
4628,@natehess3,RT,@thegenesisinv
4629,@doc_4_justice,RT,@TalbertSwan
4630,@really_luisss,RT,@timelesssports_
4631,@bigdaddymak_,RT,@timelesssports_
4632,@Miley_fluff,RT,@IsaacHayes3
4633,@gwynethxbailee,RT,@ESPNNBA
4634,@kobe_brine,RT,@cleotrapawest
4635,@mjsangel2011,RT,@itstrilbaby
4636,@MonkDwizz,RT,@Mamba_Insider
4637,@isthenew50cent,RT,@PaperChaserBlog
4638,@PCaperz,RT,@PaperChaserBlog
4639,@kimalexapr,Tweet,@kimalexapr
4640,@Sneakerhead_Ice,RT,@BleacherReport
4641,@GIGANTESbasket,RT,@alba_pache
4642,@Nickaiah,RT,@ChefBetter
4643,@Dat1King_G,RT,@SportsCenter
4644,@therealbelar,RT,@karleesteel
4645,@AshParks5,RT,@tariqnasheed
4646,@jackiestar220,Tweet,@jackiestar220
4647,@TwaunTheDon,RT,@cavs
4648,@Legendarylow_,RT,@timelesssports_
4649,@NoNoNanette13,RT,@enews
4650,@LemonClarkMedia,RT,@VerySmartBros
4651,@Bucket11ead,RT,@MambaCenter
4652,@BigGiusso,RT,@GIGANTESbasket
4653,@YesItsJustRick,RT,@TylerIAm
4654,@skinnyguapo,RT,@MattNorlander
4655,@cracklechulo,RT,@BleacherReport
4656,@RooobieDoobie,Tweet,@RooobieDoobie
4657,@BigBoiFlips,RT,@YanisCapalot
4658,@Lakeralex17,RT,@ESPNNBA
4659,@YtH8r,RT,@CristalBarzz
4660,@shamat77,Tweet,@shamat77
4661,@sandra73718293,RT,@AfrDiasporaNews
4662,@Al87hawkStil,RT,@SportsCenter
4663,@RayRecognizeRay,RT,@cavs
4664,@legatss,RT,@Complex
4665,@dtamayo13,RT,@GIGANTESbasket
4666,@SuperSloth___,Tweet,@SuperSloth___
4667,@Rafa_El_Sapingo,RT,@osmelvergara
4668,@vlinxx,RT,@cavs
4669,@12News,RT,@12SportsAZ
4670,@ccameronpitt,RT,@enews
4671,@NikaSoloki,RT,@deepi98deepi
4672,@DamoCuh,RT,@tysonbeckdesign
4673,@alba_pache,Tweet,@alba_pache
4674,@TheRealMattyP_,Tweet,@TheRealMattyP_
4675,@totoprono3,RT,@BostwoPronos
4676,@Bigg8085,RT,@timelesssports_
4677,@iamdennyblanco,Tweet,@iamdennyblanco
4678,@tgarcianyc,RT,@TheRevAl
4679,@IrishPropaganda,Tweet,@IrishPropaganda
4680,@peachesmiIk,RT,@jaeminpic
4681,@kricksc,RT,@daniecal
4682,@RocksHistory,RT,@ESPNNBA
4683,@12SportsAZ,Tweet,@12SportsAZ
4684,@MizzTip229,RT,@timelesssports_
4685,@jhonny201521,RT,@LakeShowFamily
4686,@BlastoMan,Tweet,@BlastoMan
4687,@marigold1154,RT,@IsaacHayes3
4688,@David77692706,RT,@gary_hensel
4689,@CommonLois,RT,@TorraineWalker
4690,@UncleLace,RT,@cavs
4691,@De1m0nii,RT,@FTFonFS1
4692,@OverTymeMusic,RT,@USRealityCheck
4693,@JohniFlash,RT,@RenyTay
4694,@EdoCarminati,Tweet,@EdoCarminati
4695,@MrTMac211,RT,@ESPNNBA
4696,@adrybooxo,RT,@ChargersLegion
4697,@inside_podcast,RT,@DillardVicki
4698,@JeffmChicago,RT,@SportsCenter
4699,@NandoFJG,Tweet,@NandoFJG
4700,@Newsweek,Tweet,@Newsweek
4701,@kawaiiojo,RT,@ZalUIbaorimi
4702,@chrisjavierrr,RT,@ESPNNBA
4703,@dmclaughlin77,Tweet,@dmclaughlin77
4704,@FranJMerino,Tweet,@FranJMerino
4705,@BigDawgLeek__,RT,@ESPNNBA
4706,@michael_glennan,Tweet,@michael_glennan
4707,@ohhmyceci,RT,@LegionHoops
4708,@_iStayGQ,RT,@CristalBarzz
4709,@Haddonfield1031,RT,@ESPNNBA
4710,@AshParks5,RT,@CristalBarzz
4711,@thtboyjeff,RT,@Mamba_Insider
4712,@Kobe_DBEE,RT,@RyVlsco
4713,@jones410,Tweet,@jones410
4714,@myagroce2022,RT,@CoachTomParks
4715,@ktperkins,RT,@BleacherReport
4716,@SalsaBanks2,RT,@enews
4717,@MizzTip229,RT,@ESPNNBA
4718,@cahulaan,Tweet,@cahulaan
4719,@GoodDayPayday,RT,@timelesssports_
4720,@Jcwalkersailor,RT,@10News
4721,@thtboyjeff,RT,@timelesssports_
4722,@busta350,RT,@Ballislife
4723,@Dela_delwa,RT,@gary_hensel
4724,@melloyellow48,RT,@GCTigerTracker
4725,@DemetriusMcMah2,RT,@CristalBarzz
4726,@Avemusicproduc1,Tweet,@Avemusicproduc1
4727,@JOTAPE07,RT,@tysonbeckdesign
4728,@thtboyjeff,RT,@BleacherReport
4729,@Reeedddd,RT,@ESPNNBA
4730,@ka_dijahh,RT,@enews
4731,@Derek_Turtle,RT,@SportsCenter
4732,@ajg1402,RT,@IsaacHayes3
4733,@rina393912,RT,@zensokutaro
4734,@OHGEENiCK,Tweet,@OHGEENiCK
4735,@Yanibrielle,Tweet,@Yanibrielle
4736,@YNOT_B_RECKLESS,Tweet,@YNOT_B_RECKLESS
4737,@BigYankster2,RT,@Butterfly_424
4738,@beyon_ceeee,RT,@curvellas
4739,@_IamMORGAN_,RT,@cavs
4740,@SwishMahoney34,RT,@timelesssports_
4741,@mckinleynocon,RT,@MambaCenter
4742,@kayrenee1997,RT,@LegionHoops
4743,@Sonfizzle,RT,@ESPNNBA
4744,@EwRmadrid,Tweet,@EwRmadrid
4745,@HeyRicoSuaveDos,RT,@KyMurda
4746,@Nate_Greene35,RT,@IamKrisLondon
4747,@Freckled_Smudge,RT,@2LarryJohnson7
4748,@Obey_da_law,RT,@Mamba_Insider
4749,@Itskennylaw,RT,@TMZ
4750,@BALL__AllDayy,RT,@LakeShowFamily
4751,@DawnYamez223,RT,@HOT97
4752,@JAYLBC1,RT,@ABC
4753,@Ferhardstyler,RT,@Pasion_Basket1
4754,@dpeezyjr,Tweet,@dpeezyjr
4755,@KinkyCaboose,Tweet,@KinkyCaboose
4756,@__OneP,RT,@_missssB
4757,@_DSG17,RT,@Mamba_Insider
4758,@Haddonfield1031,RT,@BleacherReport
4759,@Ivegotmyionyou1,RT,@jittomama
4760,@MrJG17,RT,@Mamba_Insider
4761,@lulajackie1,RT,@wps_spain2
4762,@GCTigerTracker,Tweet,@GCTigerTracker
4763,@NetVentures,RT,@gary_hensel
4764,@mjsangel2011,RT,@tariqnasheed
4765,@Jworld__,RT,@DdaGOAT_19
4766,@VBS248,RT,@enews
4767,@Mike1323Mike,RT,@Butterfly_424
4768,@TheKingHarris__,Tweet,@TheKingHarris__
4769,@_ANGIEdotcom,Tweet,@_ANGIEdotcom
4770,@Vonzilla,RT,@CristalBarzz
4771,@l_penniman,RT,@SportsCenter
4772,@thehesi,RT,@tysonbeckdesign
4773,@23Jadensmith23,RT,@cavs
4774,@MiraTexican,Tweet,@MiraTexican
4775,@Rethabile_Kobe,Tweet,@Rethabile_Kobe
4776,@kdrhawk,RT,@dudewithsign
4777,@ThatPHCBoy,Tweet,@ThatPHCBoy
4778,@PinkyDonaldson,RT,@TheRevAl
4779,@krichard_87,RT,@CristalBarzz
4780,@Phew_itsJustme,Tweet,@Phew_itsJustme
4781,@Vhoyde,RT,@TorraineWalker
4782,@BigHTexas,Tweet,@BigHTexas
4783,@A2thaj,Tweet,@A2thaj
4784,@bbwlover2019,RT,@tariqnasheed
4785,@PnamedStace,RT,@timelesssports_
4786,@photonxavenger,RT,@_MissLeandra
4787,@Jon_Jon_Greco,RT,@FREDOSANTANA300
4788,@DiamondsxWood,RT,@Complex
4789,@TATSon_herBACK,Tweet,@TATSon_herBACK
4790,@RashonOsborne,RT,@SportsCenter
4791,@Dcapio3,Tweet,@Dcapio3
4792,@realErikDiener,RT,@realErikDiener
4793,@jackiejlopez_,Tweet,@jackiejlopez_
4794,@Ryh_Henrique,RT,@PessoasMorrendo
4795,@dannybabybooty,RT,@enews
4796,@gdubss31,RT,@timelesssports_
4797,@TerezOwens,Tweet,@TerezOwens
4798,@Frank_Manu3,RT,@timelesssports_
4799,@Yorkimartinez_,RT,@tornicleto2
4800,@xks2012,RT,@AishiaDeal
4801,@StJoPeninsulaFL,Tweet,@StJoPeninsulaFL
4802,@DeshaunAllison,RT,@Mamba_Insider
4803,@eronthaboy,RT,@Freeyourmindkid
4804,@madison_sydneyy,RT,@bwags
4805,@realErikDiener,Tweet,@realErikDiener
4806,@calebx116,RT,@sammysoulpatch
4807,@daltonhiggins5,Tweet,@daltonhiggins5
4808,@josecedeno5,RT,@Tomapapa
4809,@alinocomicon,Tweet,@alinocomicon
4810,@wjstanley87,RT,@timelesssports_
4811,@GQ_Down,RT,@trashcanterry
4812,@jmkane14,Tweet,@jmkane14
4813,@beeler19,Tweet,@beeler19
4814,@emelyf_1,RT,@enews
4815,@Shadeira1,Tweet,@Shadeira1
4816,@Huuunnybunnn,RT,@ComplexSports
4817,@pedrojservian,Tweet,@pedrojservian
4818,@FernwehTreasure,Tweet,@FernwehTreasure
4819,@JoseBeKnowin,RT,@RenyTay
