2019nCoVwatcher,N
2020WriteIn,T
AaronDodd,O
ABSCBNNews,N
AdamBenNasr2,O
AFP,N
ai6yrham,N
ANCALERTS,N
anitalou_,O
AnnaKorhonen3,S
arambaut,S
AReawakening,O
avator1,O
Beaubier,N
BNODesk,N
BNONews,N
bogofhub,N
bprophetable,N
BrownCheong,O
CaliCali2000,O
CBCAlerts,N
CDCgov,N
CDCofBC,N
CentroGripe,N
CGTNOfficial,N
Charlie_Box,O
charlot44496375,O
CNN,N
cnnbrk,N
cnni,N
cnnphilippines,N
Conflicts_FR,N
coriiiiiiiiiii1,O
COVID_19NEWS,N
Crof,O
dailydigger19,T
DarrenPlymoth,O
DavidC_420,O
davidpaulk,N
DavidWa59907969,O
DerekGatherer,S
descoladoen,O
doctormacias,S
DrEricDing,S
drrandywax,S
DrTedros,N
EpochTimesChina,N
fylni,S
GiLia,O
gmanews,N
greg_folkers,S
GuidoCrosetto,S
Harold68911,O
hayesluk,S
HelenBranswell,N
helloalegria,T
horus_2020,T
howroute,N
htommy998,O
iarayah,N
ifoundmetonight,O
IndoPac_info,N
inquirerdotnet,N
inteldotwav,O
IsabelVillalon1,O
IsChinar,O
JasonEBurack,O
JATetro,O
jenniferatntd,N
JoannaTeglund,O
K1LLUM1N471,O
Katarzy57471458,O
kinderpsych,N
KristianHarstad,O
KrutikaKuppalli,S
l_wuhan,T
Laurie_Garrett,S
lookner,N
LucasRukaa,O
MackayIM,S
madameshawshank,O
microBIOblog,S
MikeChillit,O
MikeRiosNews,N
MinnPatriot,O
momblogger,N
NetworksManager,O
nikki_miumiu,O
NoticiasCaracol,N
NoticiasONU,N
NPR,N
nytimes,N
PDChina,N
PhilippineStar,N
plantsNbabes,O
Qgirl50,O
queenEvieB,O
realDonaldTrump,N
Reuters,N
RFA_Chinese,N
RobRoy_CN,N
SaludPublicaEs,N
Sandraforminhas,O
sanidadgob,N
SCMPNews,N
ScottGottliebMD,S
SenTomCotton,O
skekimi,N
spectatorindex,N
spectatorindex,N
Squigle,N
statesdj,S
still_a_nerd,N
tom_carpino,S
Tomo20309138,O
Trinitydraco1,N
UserFriendlyCMT,O
V2019N,N
WBYeats1865,O
WHO,N
WHOWPRO,N
Wuhan_Clan,O
XavierAbadMdG,S
ZulmaCucunuba,S
